OBJECTID,LME_NUMBER,LME_NAME
1,23,Baltic Sea
2,52,Sea of Okhotsk
3,22,North Sea
4,2,Gulf of Alaska
5,9,Labrador - Newfoundland
6,24,Celtic-Biscay Shelf
7,50,Sea of Japan
8,51,Oyashio Current
9,8,Scotian Shelf
10,3,California Current
11,62,Black Sea
12,7,Northeast U.S. Continental Shelf
13,26,Mediterranean Sea
14,25,Iberian Coastal
15,49,Kuroshio Current
16,48,Yellow Sea
17,27,Canary Current
18,47,East China Sea
19,6,Southeast U.S. Continental Shelf
20,4,Gulf of California
21,5,Gulf of Mexico
22,32,Arabian Sea
23,33,Red Sea
24,10,Insular Pacific-Hawaiian
25,12,Caribbean Sea
26,36,South China Sea
27,34,Bay of Bengal
28,11,Pacific Central-American Coastal
29,37,Sulu-Celebes Sea
30,35,Gulf of Thailand
31,17,North Brazil Shelf
32,28,Guinea Current
33,31,Somali Coastal Current
34,38,Indonesian Sea
35,16,East Brazil Shelf
36,13,Humboldt Current
37,29,Benguela Current
38,39,North Australian Shelf
39,40,Northeast Australian Shelf
40,30,Agulhas Current
41,45,Northwest Australian Shelf
42,41,East Central Australian Shelf
43,15,South Brazil Shelf
44,46,New Zealand Shelf
45,14,Patagonian Shelf
46,42,Southeast Australian Shelf
47,61,Antarctica
48,43,South West Australian Shelf
49,44,West Central Australian Shelf
50,60,Faroe Plateau
51,59,Iceland Shelf and Sea
52,19,Greenland Sea
53,21,Norwegian Sea
54,20,Barents Sea
55,58,Kara Sea
56,57,Laptev Sea
57,56,East Siberian Sea
58,53,West Bering Sea
59,65,Aleutian Islands
60,1,East Bering Sea
61,18,Canadian Eastern Arctic - West Greenland
62,63,Hudson Bay Complex
63,55,Beaufort Sea
64,66,Canadian High Arctic - North Greenland
65,64,Central Arctic
66,54,Northern Bering - Chukchi Seas
